name,continue_drop,student_id,gender, grade,class,Chinese_marks,english_marks,math_marks
莫萱铭,1,2000037,0,1,1,93.86,67.7,59.9
毕行筠,1,2000038,1,1,1,95.37,47.5,44.9
汤朋,1,2000039,0,1,1,98.6,62.6,56.3
麻澜,1,2000040,1,1,1,92.14,58.8,41.2
江致晶,1,2000041,0,1,1,91.04,85.5,56.6
纪鸣飘,1,2000042,1,1,1,93.1,62.5,36.6
喻炎允,1,2000043,0,1,1,91.41,65.6,62.5
喻启启,0,2000044,1,1,1,97.14,46.7,30.1
强固,1,2000045,1,1,1,90.91,41.1,8
沈娜,0,2000046,1,1,1,94.44,69.9,62.3
邱启,1,2000047,0,1,1,95.82,60.1,44.3
陈琰子,1,2000048,1,1,1,94.34,59.6,47.5
柯爱菁,0,2000049,1,1,1,93.21,67.4,15.7
管淑,1,2000050,0,1,1,93.18,53.7,38.9
邬丹轮,1,2000051,0,1,1,92.08,40.6,66.1
邹钧时,1,2000052,1,1,1,96.63,31.9,65.6
方珠欣,1,2000053,1,1,1,99.18,60,22.9
茅美,1,2000054,1,1,1,93.35,47.8,28.3
凌妍琛,1,2000055,1,1,1,92.37,63.6,64
陶希青,1,2000056,0,1,1,97.38,63.2,66.2
元琳锦,1,2000057,0,1,2,92.04,46.4,35.1
唐皑子,1,2000058,1,1,2,93.11,54.6,48
云若琛,1,2000059,1,1,2,97.81,59.7,54.4
奚锦,1,2000060,1,1,2,91.92,62.5,77.9
尤珍,1,2000061,0,1,2,96,44.5,29.9
沈思淇,0,2000062,0,1,2,91.47,82,55.1
邱佩,1,2000063,0,1,2,90.56,53.5,41.7
凌琴钧,1,2000064,0,1,2,93.61,39.3,39.8
邵凤眉,1,2000065,0,1,2,91.88,68.5,39.3
贝悦,1,2000066,0,1,2,96.81,43.2,51.9
水雄倩,1,2000067,0,1,2,91.76,47.8,20.6
阮晗铭,1,2000068,1,1,2,99,94.9,70.8
薛莉筠,1,2000069,1,1,2,99.02,76.7,77.7
云莉美,1,2000070,1,1,2,92.7,56.3,54.4
顾纯岚,1,2000071,0,1,2,92.62,73.8,86.3
赵晶佳,1,2000072,0,1,2,91.29,51.1,39
娄霄宜,1,2000073,0,1,2,91.6,56.9,35.2
胡霭茗,1,2000074,0,1,2,99.46,57.6,59
舒琬宇,1,2000075,1,1,2,95.92,88.2,75.7
刁青,1,2000076,1,1,2,95.23,89.9,74.4
蓝雪枝,1,2000077,1,1,2,98.59,61.4,63.9
鲁莎薇,1,2000078,1,1,2,99.3,67.9,55
潘克蓉,1,2000079,1,1,2,93.16,79.3,67
韩素萍,1,2000080,0,1,2,91.54,53.6,58.4
柳茗梦,1,2000081,0,1,2,95.03,48.3,68.7
褚嘉鹏,1,2000082,0,1,2,96.6,61.1,43.4
昝源舒,1,2000083,1,1,2,95.48,44.8,33.6
齐美弘,1,2000084,0,1,2,97,42.4,44.3
项琦雪,1,2000085,0,1,2,98.8,44,51
贺琳舒,1,2000086,0,1,2,96.72,57.2,65.3
高英妍,1,2000087,1,1,2,93.17,64.8,58.6
云源,1,2000088,0,1,2,96.81,53.8,34.7
奚琴悦,1,2000089,1,1,2,91.17,76.7,54.2
雷思憧,1,2000090,1,1,2,97.62,79.8,81.9
危艺,1,2000091,0,1,2,90.12,76.4,67.6
柯霭婕,1,2000092,0,1,2,97.88,53.3,41.6
鲁媛,1,2000093,0,1,2,91.99,74.1,49.5
姚美,1,2000094,1,1,2,91.99,66.7,57.6
苏亮冰,1,2000095,1,1,2,92.16,46.5,27.7
施行嘉,1,2000096,0,1,2,93.08,53.8,40.1
田媛,1,2000097,1,1,2,98.52,75.1,62.6
汪之馨,1,2000098,1,1,2,99.47,83.1,41.3
万怡镇,1,2000099,0,1,2,97.36,54.7,32.8
贾素蕊,1,2000100,1,1,2,98.86,44.6,50.3
戚珊凝,1,2000101,0,1,2,94.85,93.9,94.8
祝丹铭,1,2000102,0,1,2,91.91,53.2,40.4
金影美,1,2000103,1,1,2,94.87,72.7,66.6
王珍荣,1,2000104,0,1,2,96.23,48.3,23.5
潘柔瑗,1,2000105,0,1,3,98.7,64.3,34.7
万亚真,0,2000106,1,1,3,98.25,71.1,64
柯茗馨,1,2000107,0,1,3,98.41,55.8,28.4
萧盛云,1,2000108,0,1,3,97.1,43.2,22.7
尤时子,1,2000109,1,1,3,94.85,47.9,14.8
娄梦,1,2000110,0,1,3,92.12,58.2,38.9
罗育,1,2000111,0,1,3,96.65,69.8,48.2
萧昭育,1,2000112,1,1,3,95.91,69.6,61.3
平琴,1,2000113,0,1,3,96.51,54.4,50
傅云蓉,1,2000114,0,1,3,96.55,56.2,47.4
郝枫,1,2000115,1,1,3,91.79,63.5,46
罗蕊文,1,2000116,1,1,3,96.93,57.3,35.7
霍柔雪,1,2000117,0,1,3,99.88,77.8,53.1
姚航,1,2000118,0,1,3,97.02,86.5,79
罗静瑶,1,2000119,1,1,3,96.47,84.8,68.4
霍榕家,1,2000120,1,1,3,90.47,98.5,88.5
倪茗镇,1,2000121,0,1,3,91.79,86.9,74
戚瑞先,1,2000122,0,1,3,94.26,56.8,15.2
皮美巧,1,2000123,1,1,3,92.79,61.1,41.3
傅钊,1,2000124,1,1,3,97.25,25.5,47.4
童风瑶,1,2000125,0,1,3,93.6,48.1,75.7
昌琴,1,2000126,0,1,3,97.64,80.4,64.6
王怡,1,2000127,0,1,3,91.89,55.4,73
韩怡,0,2000128,1,1,3,93.22,94.7,69.7
璧和,1,2000129,1,1,3,99.88,42.9,27.5
强咏,1,2000130,0,1,3,91.12,56.4,53.1
云园嘉,1,2000131,1,1,3,95.77,73.4,93.5
薛洁,1,2000132,1,1,3,99.65,45,44.7
酆爽函,1,2000133,1,1,3,97.35,55.9,44.4
卢鸣莲,1,2000134,0,1,3,99.52,66.7,79.4
曹影婷,1,2000135,1,1,3,95.39,64.9,73.7
毛航雨,1,2000136,1,1,3,92.4,60,63.1
史宜,1,2000137,1,1,3,90.16,53.2,59.4
苗淑筠,1,2000138,0,1,3,91.01,46.4,23.6
元依亨,1,2000139,0,1,3,96.46,83.6,73.7
柯梁倩,1,2000140,0,1,3,93.02,74.7,77.8
潘时飘,1,2000141,0,1,3,98.67,63.2,38.6
计瑶怡,1,2000142,0,1,3,98.19,81,61
刁全佳,1,2000143,0,1,3,92.82,56.7,67.4
宋夕,1,2000144,1,1,3,97,50,49.4
闵琪,1,2000145,0,1,3,95.28,43.6,42.2
史莉,1,2000146,0,1,3,99.35,31,6.8
徐倩,1,2000147,0,1,3,94.21,60.1,21.2
许宁柏,1,2000148,0,1,3,93.98,28.9,33.2
乐伦滢,1,2000149,1,1,3,92.28,55.1,51.1
臧琰秋,1,2000150,1,1,3,96.6,89.1,59.2
卞珠鸣,1,2000151,0,1,3,90.54,24,27.4
皮娟榕,1,2000152,0,1,3,99.9,60.8,40.4
孟柔言,1,2000153,1,1,3,93.61,75.3,37
凌行,1,2000154,1,1,3,95.36,51,18.6
强泰璐,1,2000155,0,1,3,97.77,56,23.6
史毓园,1,2000156,1,1,3,92.25,92,100.2
施以仪,1,2000157,1,1,3,92.37,50.8,19.4
危菁,1,2000158,1,1,4,96.47,57.5,50.4
季园朗,1,2000159,1,1,4,90.4,81.8,79
尹佩奇,1,2000160,0,1,4,97.9,81.4,70.3
梁筠言,1,2000161,0,1,4,93.07,44.4,11.4
蓝晶悦,1,2000162,0,1,4,97.94,75.4,48.1
岑月,1,2000163,0,1,4,94.7,90.1,64.2
高嘉怡,1,2000164,0,1,4,95.97,74.5,88.5
葛澜瑶,1,2000165,0,1,4,93.85,58.1,44.8
舒霭琬,1,2000166,0,1,4,94.69,59.4,52.3
费伦,1,2000167,1,1,4,98.17,72.8,57.8
万之淳,1,2000168,0,1,4,90.51,56.8,52.2
方瑛,1,2000169,1,1,4,92.31,51.7,14.3
林茜瑞,1,2000170,0,1,4,96.67,64.6,77.2
章晶瑶,1,2000171,1,1,4,98.28,57,35.3
贾希,1,2000172,1,1,4,96.01,29.6,34.6
贝榕铭,1,2000173,0,1,4,98.49,57.8,35.4
计惠,1,2000174,0,1,4,93.48,49.6,41.8
花琴欢,1,2000175,0,1,4,99.95,62.3,26.6
柳姬萱,1,2000176,1,1,4,99.5,40.1,52.1
路维,1,2000177,0,1,4,95.93,22.7,35.7
时清灵,1,2000178,1,1,4,93.8,42,17.2
计云琦,1,2000179,0,1,4,97.37,58.4,85.1
阮元珍,1,2000180,0,1,4,90.64,46,67.4
潘月夕,1,2000181,0,1,4,90.72,71.3,78.2
穆羽娟,1,2000182,0,1,4,97.14,70.4,95.1
卫函黛,1,2000183,1,1,4,97.78,53.7,54.7
蓝美媛,1,2000184,0,1,4,97.71,54.4,64.6
强聪辰,1,2000185,0,1,4,91.1,45.1,39.1
危琴,1,2000186,0,1,4,92.39,64.5,74.5
喻凝,1,2000187,1,1,4,93.81,37.4,46.3
尤璧琦,1,2000188,0,1,4,90.21,53,56.2
熊瑶,1,2000189,1,1,4,90.1,56.7,83
奚舒,1,2000190,0,1,4,90.04,65.5,78.8
邱珊伊,1,2000191,1,1,4,94.83,34.7,57.6
臧佳,1,2000192,0,1,4,94.1,53.7,54.3
卞柔,1,2000193,1,1,4,92.5,45.6,84.7
柳栋秀,1,2000194,1,1,4,90.08,38.4,47.2
于纯,1,2000195,1,1,4,92.05,50.2,73
明月莉,1,2000196,0,1,4,99.43,52,48.5
施雄羽,1,2000197,1,1,4,92.5,49.4,47.4
戚妤冰,1,2000198,0,1,4,99.39,69.1,77.4
季嘉婷,1,2000199,1,1,4,93.26,38.3,25.7
殷亨蕊,1,2000200,0,1,4,94.71,51.3,72
云腾毓,1,2000201,0,1,5,96.49,40.3,50.3
马倩琦,1,2000202,0,1,5,98.21,84.1,65.5
倪璐琳,1,2000203,1,1,5,97.86,55.2,58.4
齐寒萱,1,2000204,1,1,5,95.68,75.9,83.8
水英荷,1,2000205,1,1,5,97.79,74.5,99.9
喻珍雄,1,2000206,0,1,5,92.99,72,76.3
黄子,0,2000207,0,1,5,99.53,49.5,43.8
卜吉,1,2000208,1,1,5,94.94,80.7,89.5
贺蕊,1,2000209,1,1,5,99.39,39.7,56.5
王凤,1,2000210,1,1,5,95.85,59.7,103
岑琴淇,1,2000211,1,1,5,98.62,59.9,40.1
管启,1,2000212,1,1,5,90.26,56.1,63.2
夏榕蕊,1,2000213,1,1,5,99.11,56.2,76.2
舒素婵,1,2000214,1,1,5,90.4,53.5,45.3
刁毓妍,1,2000215,0,1,5,92.1,93.7,91.3
董一瑶,1,2000216,1,1,5,91.76,66.6,83.3
茅月钧,1,2000217,1,1,5,93.39,66.2,73.6
郎希,1,2000218,1,1,5,98.56,46.8,66.6
贝洁秀,1,2000219,1,1,5,95.89,62.2,68.2
凌月羽,1,2000220,0,1,5,99.48,66,35.4
汪玲颖,1,2000221,0,1,5,90.25,47.4,78.1
华瑾琛,1,2000222,0,1,5,90.91,43.4,34.3
葛眉婷,1,2000223,1,1,5,91.29,35.5,38.8
杨雪,0,2000224,0,1,5,99.11,31.7,64.6
酆冠伊,1,2000225,0,1,5,94.5,64.4,89
柯致黛,1,2000226,0,1,5,99.18,48.3,33.5
水聪,1,2000227,1,1,5,97.63,44.8,73.3
梁炎,1,2000228,0,1,5,95.96,92.1,70.9
戴悦沫,1,2000229,0,1,5,95.99,44.5,63.2
范琦盛,1,2000230,0,1,5,96.25,80.6,96.6
蒋英佩,1,2000231,1,1,5,95.26,39.9,40.9
朱晶荣,1,2000232,0,1,5,96.1,40.9,50.5
明子凡,1,2000233,0,1,5,92.75,55.3,65.5
盛,1,2000234,1,1,5,99.77,61.4,67.4
董朋,0,2000235,1,1,5,99.02,55.6,72.5
潘冰瑶,1,2000236,1,1,5,95.51,61.1,45.4
俞清菁,1,2000237,1,1,5,93.05,57.1,70.7
韩清,1,2000238,1,1,5,90.64,35.3,43.4
鲍育,1,2000239,1,1,5,94.65,28.8,54.7
卢佳爽,1,2000240,1,1,5,92.37,75.5,76.8
廉月兰,1,2000241,1,1,5,90.05,67,86.2
管凡丹,1,2000242,1,1,5,91.38,43.5,86.5
孔晨,1,2000243,0,1,5,94.03,61.1,53.4
罗媛洁,1,2000244,1,1,5,98,54.2,60.9
秦风竹,1,2000245,0,1,5,91.33,40.2,17.4
危怡,1,2000246,0,1,5,95.62,82.7,89.6
皮昭芳,1,2000247,0,1,5,96.17,61.5,37.6
闵丽琬,1,2000248,1,1,5,94.49,46.3,57.1
魏瑞巧,1,2000249,1,1,5,94.64,62.5,73.9
柳可,1,2000250,0,1,5,93.86,71.4,67.9
强艺荷,1,2000251,1,1,5,97.22,62.6,62.8
周巧夕,1,2000252,1,1,5,94.18,30.2,34.9
强灵娅,1,2000253,1,1,5,97.34,85.5,80.8
祝娜莹,1,2000254,0,1,5,90.94,68.4,21.4
伍若怡,1,2000255,1,1,5,99.53,21.4,13.7
卫家,1,2000256,1,1,6,98.02,73.2,79.4
于纨蕊,1,2000257,0,1,6,97.03,31.8,76.3
谈琳,1,2000258,1,1,6,95.16,52.2,52.3
孟羽,1,2000259,1,1,6,92.68,60.2,56.4
康莉,1,2000260,1,1,6,94.12,36.3,25
李美,1,2000261,1,1,6,97.45,38,32.1
吕嫣风,1,2000262,1,1,6,97.37,30.9,63.8
颜菁,1,2000263,0,1,6,92.54,33,62.8
喻妹克,1,2000264,0,1,6,93.1,72.2,76.4
霍韵,1,2000265,0,1,6,96.56,57.3,55.8
俞雪霞,1,2000266,0,1,6,94.18,45.6,71.1
李伊,1,2000267,0,1,6,96.49,45,46.2
狄婵,1,2000268,1,1,6,94.75,65,92.6
成瑾雅,1,2000269,1,1,6,95.07,51.2,40.5
凤静娜,1,2000270,1,1,6,94.84,51.3,80
虞以文,1,2000271,0,1,6,98.83,68.7,14.2
骆娜莲,1,2000272,0,1,6,99.49,88.9,73.7
颜琰媛,1,2000273,1,1,6,97.59,30.2,37.2
明文媛,1,2000274,0,1,6,99.75,46.2,32
姚清,1,2000275,0,1,6,92.68,50.6,51.7
秦泓琪,1,2000276,0,1,6,98.11,64.2,60.2
席萱瑗,1,2000277,1,1,6,97.63,46.8,53.8
汪慧,1,2000278,0,1,6,92.58,33.5,10.4
卜弘芸,1,2000279,0,1,6,94.68,57.3,50.2
邹叶枝,1,2000280,0,1,6,98.69,26,29.6
沈英凤,1,2000281,0,1,6,98.07,28.5,61.2
余吉,1,2000282,0,1,6,95.1,31.7,20.1
湛憧,1,2000283,0,1,6,96.06,52.9,41.4
方维,0,2000284,1,1,6,99.65,52.1,35.9
郎栋清,1,2000285,1,1,6,90.94,35.4,9.9
水淇玉,1,2000286,1,1,6,95.64,28.7,9.4
董叶嫣,1,2000287,1,1,6,99.79,33.8,39.3
秦咏珍,1,2000288,1,1,6,90.3,23.8,42.3
滕弘冰,1,2000289,0,1,6,90.13,51.9,63.1
纪云,1,2000290,0,1,6,90.89,55.9,43.3
娄叶亮,1,2000291,1,1,6,99.15,26,12.6
许香淇,1,2000292,0,1,6,90.78,72.7,53.9
和香珍,1,2000293,1,1,6,91.83,40.5,16.7
云爱若,1,2000294,0,1,6,98.35,97.7,79.7
麻莎晨,1,2000295,1,1,6,94.07,63.6,56.2
孙一,1,2000296,1,1,6,97.59,49.2,51.3
卜惠,1,2000297,0,1,6,93.56,70.6,73.7
盛士冠,1,2000298,1,1,6,90.5,62.1,43.6
廉文凡,1,2000299,0,1,6,97.38,58.2,51
金飘沫,1,2000300,0,1,6,98.79,46.3,36.1
胡雪茜,1,2000301,1,1,6,99.71,37.9,36.5
纪婉腾,1,2000302,1,1,6,93.68,82.3,66.3
尤冰,1,2000303,0,1,7,91.61,40.6,63.5
童澜聪,1,2000304,0,1,7,96.64,70.9,56.2
谢泰,1,2000305,1,1,7,95.01,52.3,47.8
卜士,1,2000306,1,1,7,92.34,63.9,56.3
席荣,1,2000307,0,1,7,99.04,52.4,55.2
茅晓沫,1,2000308,1,1,7,94,36.4,56.2
毛朗宁,1,2000309,0,1,7,97.02,56.3,61.1
戚园娅,1,2000310,0,1,7,96.46,86.8,84.8
褚媛,1,2000311,0,1,7,95.58,75.7,91.6
危镇眉,0,2000312,0,1,7,90.27,66.2,68.5
茅琳,1,2000313,0,1,7,97.24,51.8,17.3
喻风,1,2000314,1,1,7,96.25,83,68.6
莫瑶霄,1,2000315,0,1,7,96.04,21.4,34.2
范茜风,1,2000316,1,1,7,93.3,73.1,67.1
严怡茹,1,2000317,1,1,7,90.91,45.7,58.1
云茹言,1,2000318,1,1,7,95.57,24,12.4
鲍萱,1,2000319,1,1,7,91.93,57.3,35.7
和君,0,2000320,0,1,7,92.93,21.6,38.9
郭瑶,1,2000321,1,1,7,99.78,57.1,44.2
齐娅青,1,2000322,0,1,7,99.36,74.4,49.9
席妹,1,2000323,1,1,7,91.49,44,36.6
毕腾朋,1,2000324,0,1,7,96.82,71.9,57.5
袁梦梦,1,2000325,1,1,7,92.98,62.8,62.1
薛莎,1,2000326,1,1,7,91.84,63.2,34
时茗华,1,2000327,1,1,7,94.43,65.9,40.8
席莎莹,1,2000328,0,1,7,96.54,61.5,37.3
梁纯婕,1,2000329,0,1,7,98.13,51,29.4
禹娅,1,2000330,0,1,7,94.67,89.1,80.2
宋莹瑞,1,2000331,1,1,7,97.04,16,11.3
祁嫣娜,1,2000332,1,1,7,99.49,51.8,45.6
廉萱灵,1,2000333,1,1,7,90.91,35.2,40
钱琛真,1,2000334,0,1,7,98.59,41.3,45.8
殷怡荣,1,2000335,0,1,7,90.98,84.6,82.4
殷鹏君,1,2000336,1,1,7,93.89,42,44
周贞悦,1,2000337,0,1,7,95.26,85.4,76.6
禹梦亮,1,2000338,0,1,7,96.98,44.3,66.7
萧欢以,1,2000339,1,1,7,94.85,44.1,2.3
明蕊,1,2000340,1,1,7,94.63,65.4,44.7
安珍彤,1,2000341,1,1,7,97.19,75.3,85.1
水文荣,1,2000342,1,1,7,91.61,23.8,31.6
强悦馨,1,2000343,1,1,7,91,24.8,22.9
云瑗,1,2000344,1,1,7,94.91,26.7,20.9
皮竹秋,1,2000345,0,1,7,91.96,62.3,58.2
金韵,1,2000346,1,1,7,92.91,33.2,47.8
卫宜飘,0,2000347,1,1,7,98.72,51.1,59.4
危思妹,1,2000348,1,1,7,90.82,55.1,64.2
林希枝,1,2000349,0,1,7,95.84,69.7,51.9
鲁月云,1,2000350,1,1,7,91.71,64.7,76.6
奚奕聪,1,2000351,0,1,7,90.46,49.7,39
孙妍玉,1,2000352,1,1,7,96.67,80.6,49
姚寒,1,2000353,1,1,7,97.61,14.7,69.1
廉淇悦,1,2000354,0,1,7,93.26,27.1,26.6
董铎勤,1,2000355,1,1,7,96.2,82.8,103.2
严萱启,1,2000356,1,1,8,96.82,59.3,46.4
苏贞,1,2000357,1,1,8,90.4,27,19.8
穆灵娟,0,2000358,0,1,8,93.39,47.2,13.4
康真佩,1,2000359,0,1,8,94.35,45.5,56.9
支英亨,1,2000360,1,1,8,98.28,84.9,68.1
茅蓉慧,1,2000361,1,1,8,99.75,37.9,46.1
郝薇影,1,2000362,0,1,8,97.89,60,51.1
严和,1,2000363,1,1,8,96.38,85.9,89.6
梅霞香,0,2000364,0,1,8,97.81,79.8,40.8
娄依,1,2000365,0,1,8,96.71,48,16.3
卞莉莲,1,2000366,0,1,8,97.4,41.1,64.9
邬英,1,2000367,0,1,8,94.27,64.3,44.2
张艳惠,1,2000368,0,1,8,96.77,26.5,69.4
田若旭,1,2000369,0,1,8,95.9,35.3,69.9
卢霭泓,1,2000370,1,1,8,91.75,40.3,51.1
纪朋兰,1,2000371,0,1,8,92.99,14.6,30.1
祝琴策,1,2000372,0,1,8,93.87,34.7,65.9
麻月黛,1,2000373,0,1,8,96.33,17.3,22.6
滕可辰,1,2000374,1,1,8,98.05,27.7,55.1
支航,1,2000375,0,1,8,93.79,44.2,43.7
伍妍,0,2000376,1,1,8,94.82,101,74.9
卜云姬,1,2000377,0,1,8,90.87,64.2,47.8
王媛云,1,2000378,0,1,8,96.88,42.9,32.3
梅和,1,2000379,0,1,8,94.42,88.5,63.3
严娟,1,2000380,0,1,8,93.91,28.3,33.7
林乐元,1,2000381,1,1,8,91.87,35.1,34.4
霍铭爽,1,2000382,0,1,8,96.07,7.7,18.3
骆慧姣,1,2000383,0,1,8,96.92,51.4,40.9
季纨艳,1,2000384,1,1,8,90.48,51.2,29
卜媛,1,2000385,0,1,8,97.31,66.6,60.2
和宁昭,1,2000386,1,1,8,96.81,52.6,37.8
纪娟瑛,1,2000387,0,1,8,99.73,61.4,53.6
殷固静,1,2000388,1,1,8,91.7,51.9,59.4
岑月,1,2000389,1,1,8,90.2,52.5,17.7
管菁子,1,2000390,1,1,8,99.65,45.7,48
史云菲,1,2000391,0,1,8,92.21,72.8,82.1
尹秋勤,1,2000392,0,1,8,99.11,32.2,41.8
田维,1,2000393,1,1,8,96.56,66.4,75.7
吴佳,1,2000394,0,1,8,94.42,56.6,13.3
阮英,1,2000395,1,1,8,91.1,49.5,56.6
祝皑兰,1,2000396,0,1,8,99.6,59.8,41.3
时馨炎,1,2000397,1,1,8,94.84,52.4,46.1
戚伊玲,1,2000398,0,1,8,97.1,67.2,74.2
何珍蓉,0,2000399,0,1,8,92.77,52.3,50.3
滕舒琛,1,2000400,1,1,8,97.55,40.8,32
钱美和,1,2000401,1,1,8,98.06,48.5,30.6
伏璧,1,2000402,0,1,8,98.07,50.7,10.7
于翰怡,1,2000403,0,1,8,95.65,42.6,38
毕冰娟,1,2000404,0,1,8,96.72,66.9,74.6
成倩琰,0,2000405,1,1,8,91.81,75.8,68.1
卞钧榕,1,2000406,1,1,9,91.66,61.5,89.5
娄园亚,1,2000407,1,1,9,91.37,75.9,13.2
昝瑶瑛,1,2000408,1,1,9,98.94,46,45.6
施婷园,1,2000409,1,1,9,92.81,57.4,44.4
祁行,1,2000410,1,1,9,97.07,55.6,30.4
祝冠,1,2000411,0,1,9,92.9,70.3,36.2
盛宜飘,1,2000412,0,1,9,97.75,66.3,51.9
万莲悦,1,2000413,0,1,9,93.31,70.1,77.9
颜倩丽,1,2000414,1,1,9,98.17,55.8,56.7
昌琰,1,2000415,1,1,9,99.66,53.3,39.1
卫旭,1,2000416,1,1,9,96.32,37.3,35.5
邬怡雁,1,2000417,0,1,9,94.53,61.1,38
任婉聪,1,2000418,0,1,9,94.97,47.4,30.4
鲍澜姣,1,2000419,0,1,9,95.26,67.7,59.9
计婷霞,1,2000420,1,1,9,97.41,47.5,44.9
潘莉先,1,2000421,1,1,9,93.59,62.6,56.3
云蕊元,1,2000422,0,1,9,95.31,58.8,41.2
莫琦环,1,2000423,1,1,9,96.41,85.5,56.6
曹莹,1,2000424,1,1,9,94.7,62.5,36.6
任萱茗,1,2000425,1,1,9,95.44,65.6,62.5
汪伦,0,2000426,0,1,9,98.1,46.7,30.1
许德洁,1,2000427,1,1,9,91.76,41.1,8
宋源谦,0,2000428,1,1,9,98.87,69.9,62.3
黄姬铎,1,2000429,0,1,9,95.33,60.1,44.3
田月媛,1,2000430,0,1,9,97.84,59.6,47.5
管文伊,0,2000431,0,1,9,94.77,67.4,15.7
邬茹欣,1,2000432,0,1,9,94.28,53.7,38.9
奚巧瑶,1,2000433,0,1,9,91.16,40.6,66.1
水琦晴,1,2000434,0,1,9,97.42,31.9,65.6
和泰荷,1,2000435,0,1,9,98.61,60,22.9
鲍滢,1,2000436,1,1,9,94.02,47.8,28.3
康莲,1,2000437,0,1,9,98.06,63.6,64
于妤瑾,1,2000438,0,1,9,96.27,63.2,66.2
梁静,1,2000439,0,1,9,91.01,46.4,35.1
雷婷,1,2000440,1,1,9,96.94,54.6,48
罗娅影,1,2000441,0,1,9,90.26,59.7,54.4
昝柏,1,2000442,1,1,9,98.01,62.5,77.9
穆泰皑,1,2000443,0,1,9,95.05,44.5,29.9
袁栋瑶,0,2000444,1,1,9,92.27,82,55.1
贺滢宏,1,2000445,0,1,9,90.1,53.5,41.7
时航固,1,2000446,1,1,9,92.91,39.3,39.8
尹栋航,1,2000447,1,1,9,90.3,68.5,39.3
曹一泓,1,2000448,1,1,9,91.05,43.2,51.9
孔启英,1,2000449,1,1,9,92.39,47.8,20.6
陈启鹏,1,2000450,1,1,9,95.33,94.9,70.8
鲁凡,1,2000451,0,1,9,91,76.7,77.7
潘宁羽,1,2000452,1,1,9,99.5,56.3,54.4
梅黛娟,1,2000453,0,1,9,90.83,73.8,86.3
江欣佳,1,2000454,1,1,9,94.94,51.1,39
熊娟雅,1,2000455,1,1,9,98.6,56.9,35.2
柏昭倩,1,2000456,0,1,9,92.34,57.6,59
毛惠,1,2000457,1,1,10,95.92,88.2,75.7
蔡晓莉,1,2000458,0,1,10,99.02,89.9,74.4
郑澜影,1,2000459,1,1,10,97.68,61.4,63.9
邱姬梦,1,2000460,1,1,10,96.29,67.9,55
吴慧菲,1,2000461,0,1,10,97.67,79.3,67
樊希苑,1,2000462,1,1,10,93.01,53.6,58.4
邬以,1,2000463,1,1,10,97.94,48.3,68.7
屈茗菲,1,2000464,0,1,10,95.89,61.1,43.4
王霄,1,2000465,0,1,10,98.49,44.8,33.6
殷贞淑,1,2000466,1,1,10,93.01,42.4,44.3
凤芝珍,1,2000467,0,1,10,91.64,44,51
危思鸣,1,2000468,1,1,10,90.91,57.2,65.3
狄行函,1,2000469,1,1,10,95.45,64.8,58.6
管滢娟,1,2000470,1,1,10,98.73,53.8,34.7
岑钧,1,2000471,0,1,10,94.93,76.7,54.2
酆嫣,1,2000472,0,1,10,99.14,79.8,81.9
明涵,1,2000473,0,1,10,92.22,76.4,67.6
